Match_Date,Match_Format,Opponent,Winner,Margin,Ground,Year,Gender,Toss_Winner,Toss_Decision,Player_of_Match,Event_Name
12/26/2006,T20,New Zealand,Opponent,5 wickets,Eden Park,2006,male,New Zealand,field,JEC Franklin,Sri Lanka in New Zealand T20I Series
12/28/2006,ODI,New Zealand,Sri Lanka,7 wickets,McLean Park,2006,male,New Zealand,bat,ST Jayasuriya,Sri Lanka in New Zealand ODI Series
1/2/2007,ODI,New Zealand,Opponent,4 wickets,Jade Stadium,2007,male,New Zealand,field,MJ Mason,Sri Lanka in New Zealand ODI Series
1/6/2007,ODI,New Zealand,Sri Lanka,189 runs,Eden Park,2007,male,Sri Lanka,bat,ST Jayasuriya,Sri Lanka in New Zealand ODI Series
2/8/2007,ODI,India,No Result,,Eden Gardens,2007,male,India,field,,Sri Lanka in India ODI Series
2/11/2007,ODI,India,Sri Lanka,5 runs,Madhavrao Scindia Cricket Ground,2007,male,India,field,KC Sangakkara,Sri Lanka in India ODI Series
2/14/2007,ODI,India,Opponent,5 wickets,"Nehru Stadium, Fatorda",2007,male,Sri Lanka,bat,Z Khan,Sri Lanka in India ODI Series
2/17/2007,ODI,India,Opponent,7 wickets,Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium,2007,male,India,field,LPC Silva,Sri Lanka in India ODI Series
3/15/2007,ODI,Bermuda,Sri Lanka,243 runs,"Queen's Park Oval, Port of Spain",2007,male,Sri Lanka,bat,DPMD Jayawardene,ICC Cricket World Cup
3/21/2007,ODI,Bangladesh,Sri Lanka,198 runs,"Queen's Park Oval, Port of Spain",2007,male,Bangladesh,field,ST Jayasuriya,ICC Cricket World Cup
3/23/2007,ODI,India,Sri Lanka,69 runs,"Queen's Park Oval, Port of Spain",2007,male,India,field,M Muralitharan,ICC Cricket World Cup
3/28/2007,ODI,South Africa,Opponent,1 wickets,Providence Stadium,2007,male,Sri Lanka,bat,CK Langeveldt,ICC Cricket World Cup
4/1/2007,ODI,West Indies,Sri Lanka,113 runs,Providence Stadium,2007,male,West Indies,field,ST Jayasuriya,ICC Cricket World Cup
4/4/2007,ODI,England,Sri Lanka,2 runs,"Sir Vivian Richards Stadium, North Sound",2007,male,England,field,RS Bopara,ICC Cricket World Cup
4/12/2007,ODI,New Zealand,Sri Lanka,6 wickets,"National Cricket Stadium, St George's",2007,male,New Zealand,bat,WPUJC Vaas,ICC Cricket World Cup
4/16/2007,ODI,Australia,Opponent,7 wickets,"National Cricket Stadium, St George's",2007,male,Sri Lanka,bat,NW Bracken,ICC Cricket World Cup
4/18/2007,ODI,Ireland,Sri Lanka,8 wickets,"National Cricket Stadium, St George's",2007,male,Sri Lanka,field,MF Maharoof,ICC Cricket World Cup
4/24/2007,ODI,New Zealand,Sri Lanka,81 runs,"Sabina Park, Kingston",2007,male,Sri Lanka,bat,DPMD Jayawardene,ICC Cricket World Cup
4/28/2007,ODI,Australia,Opponent,53 runs,"Kensington Oval, Bridgetown",2007,male,Australia,bat,AC Gilchrist,ICC Cricket World Cup
6/25/2007,Test,Bangladesh,Sri Lanka,234 runs,Sinhalese Sports Club Ground,2007,male,Sri Lanka,field,M Muralitharan,Bangladesh tour of Sri Lanka
7/3/2007,Test,Bangladesh,Sri Lanka,90 runs,P Sara Oval,2007,male,Sri Lanka,field,KC Sangakkara,Bangladesh tour of Sri Lanka
7/11/2007,Test,Bangladesh,Sri Lanka,193 runs,Asgiriya Stadium,2007,male,Sri Lanka,field,M Muralitharan,Bangladesh tour of Sri Lanka
7/20/2007,ODI,Bangladesh,Sri Lanka,70 runs,P Saravanamuttu Stadium,2007,male,Bangladesh,field,CRD Fernando,Bangladesh in Sri Lanka ODI Series
7/23/2007,ODI,Bangladesh,Sri Lanka,5 wickets,R Premadasa Stadium,2007,male,Sri Lanka,field,ST Jayasuriya,Bangladesh in Sri Lanka ODI Series
7/25/2007,ODI,Bangladesh,Sri Lanka,39 runs,R Premadasa Stadium,2007,male,Bangladesh,field,J Mubarak,Bangladesh in Sri Lanka ODI Series
9/14/2007,T20,Kenya,Sri Lanka,172 runs,New Wanderers Stadium,2007,male,Kenya,field,ST Jayasuriya,ICC Men's T20 World Cup
9/15/2007,T20,New Zealand,Sri Lanka,7 wickets,New Wanderers Stadium,2007,male,New Zealand,bat,ST Jayasuriya,ICC Men's T20 World Cup
9/17/2007,T20,Pakistan,Opponent,33 runs,New Wanderers Stadium,2007,male,Sri Lanka,field,Younis Khan,ICC Men's T20 World Cup
9/18/2007,T20,Bangladesh,Sri Lanka,64 runs,New Wanderers Stadium,2007,male,Bangladesh,field,CRD Fernando,ICC Men's T20 World Cup
9/20/2007,T20,Australia,Opponent,10 wickets,Newlands,2007,male,Australia,field,SR Clark,ICC Men's T20 World Cup
10/1/2007,ODI,England,Sri Lanka,119 runs,Rangiri Dambulla International Stadium,2007,male,Sri Lanka,bat,MF Maharoof,England in Sri Lanka ODI Series
10/4/2007,ODI,England,Opponent,65 runs,Rangiri Dambulla International Stadium,2007,male,England,bat,OA Shah,England in Sri Lanka ODI Series
10/10/2007,ODI,England,Opponent,5 wickets,R Premadasa Stadium,2007,male,Sri Lanka,bat,AN Cook,England in Sri Lanka ODI Series
10/13/2007,ODI,England,Sri Lanka,107 runs,R Premadasa Stadium,2007,male,Sri Lanka,bat,CRD Fernando,England in Sri Lanka ODI Series
