Match_Date,Match_Format,Opponent,Winner,Margin,Ground,Year,Gender,Toss_Winner,Toss_Decision,Player_of_Match,Event_Name,Home_Away
2012-12-14,Test,Australia,Opponent,137 runs,Bellerive Oval,2012,male,Australia,bat,PM Siddle,Warne-Muralitharan Trophy,Away
2012-12-26,Test,Australia,Opponent,201 runs,Melbourne Cricket Ground,2012,male,Sri Lanka,bat,MG Johnson,Warne-Muralitharan Trophy,Away
2013-01-03,Test,Australia,Opponent,5 wickets,Sydney Cricket Ground,2013,male,Australia,field,JM Bird,Warne-Muralitharan Trophy,Away
2013-01-11,ODI,Australia,Opponent,107 runs,Melbourne Cricket Ground,2013,male,Australia,bat,PJ Hughes,Sri Lanka in Australia ODI Series,Away
2013-01-13,ODI,Australia,Sri Lanka,8 wickets,Adelaide Oval,2013,male,Sri Lanka,field,HDRL Thirimanne,Sri Lanka in Australia ODI Series,Away
2013-01-18,ODI,Australia,Sri Lanka,4 wickets,"Brisbane Cricket Ground, Woolloongabba",2013,male,Australia,bat,KMDN Kulasekara,Sri Lanka in Australia ODI Series,Away
2013-01-20,ODI,Australia,No Result,,Sydney Cricket Ground,2013,male,Australia,bat,nan,Sri Lanka in Australia ODI Series,Away
2013-01-23,ODI,Australia,Opponent,32 runs,Bellerive Oval,2013,male,Sri Lanka,field,PJ Hughes,Sri Lanka in Australia ODI Series,Away
2013-01-26,T20,Australia,Sri Lanka,5 wickets,Stadium Australia,2013,male,Australia,bat,DA Warner,Sri Lanka in Australia T20I Series,Away
2013-01-28,T20,Australia,Sri Lanka,2 runs,Melbourne Cricket Ground,2013,male,Australia,field,NLTC Perera,Sri Lanka in Australia T20I Series,Away
2013-02-01,ODI,England,Sri Lanka,1 wicket,Brabourne Stadium,2013,female,Sri Lanka,field,LE Kaushalya,ICC Women's World Cup,Away
2013-02-05,ODI,India,Sri Lanka,138 runs,Brabourne Stadium,2013,female,Sri Lanka,bat,HMD Rasangika,ICC Women's World Cup,Away
2013-02-10,ODI,Australia,Opponent,9 wickets,Brabourne Stadium,2013,female,Australia,field,EA Osborne,ICC Women's World Cup,Away
2013-02-22,ODI,West Indies,Opponent,4 wickets,Rangiri Dambulla International Stadium,2013,female,Sri Lanka,bat,nan,West Indies Women in Sri Lanka ODI Series,Home
2013-02-24,ODI,West Indies,Sri Lanka,4 wickets,Rangiri Dambulla International Stadium,2013,female,West Indies,bat,nan,West Indies Women in Sri Lanka ODI Series,Home
2013-02-26,ODI,West Indies,Opponent,33 runs,Rangiri Dambulla International Stadium,2013,female,Sri Lanka,field,nan,West Indies Women in Sri Lanka ODI Series,Home
2013-03-03,T20,West Indies,Opponent,6 wickets,R Premadasa Stadium,2013,female,Sri Lanka,bat,nan,West Indies Women in Sri Lanka T20I Series,Home
2013-03-05,T20,West Indies,Opponent,34 runs,R Premadasa Stadium,2013,female,Sri Lanka,field,nan,West Indies Women in Sri Lanka T20I Series,Home
2013-03-08,Test,Bangladesh,Draw,,Galle International Stadium,2013,male,Sri Lanka,bat,Mushfiqur Rahim,Bangladesh in Sri Lanka Test Series,Home
2013-03-08,T20,West Indies,Opponent,7 runs,R Premadasa Stadium,2013,female,West Indies,bat,nan,West Indies Women in Sri Lanka T20I Series,Home
2013-03-16,Test,Bangladesh,Sri Lanka,7 wickets,R Premadasa Stadium,2013,male,Sri Lanka,field,HMRKB Herath,Bangladesh in Sri Lanka Test Series,Home
2013-03-23,ODI,Bangladesh,Sri Lanka,8 wickets,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013,male,Sri Lanka,field,TM Dilshan,Bangladesh in Sri Lanka ODI Series,Away
2013-03-25,ODI,Bangladesh,No Result,,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013,male,Bangladesh,field,nan,Bangladesh in Sri Lanka ODI Series,Away
2013-03-28,ODI,Bangladesh,Opponent,3 wickets,Pallekele International Cricket Stadium,2013,male,Sri Lanka,bat,TM Dilshan,Bangladesh in Sri Lanka ODI Series,Home
2013-03-31,T20,Bangladesh,Sri Lanka,17 runs,Pallekele International Cricket Stadium,2013,male,Bangladesh,field,MDKJ Perera,nan,Home
2013-06-09,ODI,New Zealand,Opponent,1 wicket,Sophia Gardens,2013,male,Sri Lanka,bat,NL McCullum,ICC Champions Trophy,Away
2013-06-13,ODI,England,Sri Lanka,7 wickets,Kennington Oval,2013,male,Sri Lanka,field,KC Sangakkara,ICC Champions Trophy,Away
2013-06-17,ODI,Australia,Sri Lanka,20 runs,Kennington Oval,2013,male,Australia,field,DPMD Jayawardene,ICC Champions Trophy,Away
2013-06-20,ODI,India,Opponent,8 wickets,Sophia Gardens,2013,male,India,field,I Sharma,ICC Champions Trophy,Away
2013-06-28,ODI,West Indies,Opponent,6 wickets,"Sabina Park, Kingston",2013,male,West Indies,field,CH Gayle,West Indies Tri-Nation Series,Away
2013-07-02,ODI,India,Sri Lanka,161 runs,"Sabina Park, Kingston",2013,male,India,field,WU Tharanga,West Indies Tri-Nation Series,Away
2013-07-07,ODI,West Indies,Sri Lanka,39 runs,"Queen's Park Oval, Port of Spain",2013,male,West Indies,field,KC Sangakkara,West Indies Tri-Nation Series,Away
2013-07-09,ODI,India,Opponent,81 runs,"Queen's Park Oval, Port of Spain",2013,male,Sri Lanka,field,B Kumar,West Indies Tri-Nation Series,Away
2013-07-11,ODI,India,Opponent,1 wicket,"Queen's Park Oval, Port of Spain",2013,male,India,field,MS Dhoni,West Indies Tri-Nation Series,Away
2013-07-20,ODI,South Africa,Sri Lanka,180 runs,R Premadasa Stadium,2013,male,South Africa,field,KC Sangakkara,South Africa in Sri Lanka ODI Series,Home
2013-07-23,ODI,South Africa,Sri Lanka,17 runs,R Premadasa Stadium,2013,male,Sri Lanka,bat,LD Chandimal,South Africa in Sri Lanka ODI Series,Home
2013-07-26,ODI,South Africa,Opponent,56 runs,Pallekele International Cricket Stadium,2013,male,South Africa,bat,DA Miller,South Africa in Sri Lanka ODI Series,Home
2013-07-28,ODI,South Africa,Sri Lanka,8 wickets,Pallekele International Cricket Stadium,2013,male,South Africa,bat,TM Dilshan,South Africa in Sri Lanka ODI Series,Home
2013-07-31,ODI,South Africa,Sri Lanka,128 runs,R Premadasa Stadium,2013,male,Sri Lanka,bat,TM Dilshan,South Africa in Sri Lanka ODI Series,Home
2013-07-31,T20,Pakistan,No Result,,YMCA Cricket Club,2013,female,Sri Lanka,field,nan,ICC Women's World Twenty20 Qualifier,Away
2013-08-02,T20,South Africa,Opponent,12 runs,R Premadasa Stadium,2013,male,South Africa,bat,JP Duminy,South Africa in Sri Lanka T20I Series,Home
2013-08-04,T20,South Africa,Opponent,22 runs,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013,male,South Africa,bat,DA Miller,South Africa in Sri Lanka T20I Series,Away
2013-08-06,T20,South Africa,Sri Lanka,6 wickets,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013,male,South Africa,bat,TM Dilshan,South Africa in Sri Lanka T20I Series,Away
2013-10-26,ODI,South Africa,Opponent,67 runs,Senwes Park,2013,female,Sri Lanka,field,M du Preez,Sri Lanka Women in South Africa ODI Series,Away
2013-10-28,ODI,South Africa,No Result,,Senwes Park,2013,female,South Africa,field,nan,Sri Lanka Women in South Africa ODI Series,Away
2013-10-31,T20,South Africa,Opponent,7 wickets,Senwes Park,2013,female,South Africa,field,HML Madushani,Sri Lanka Women in South Africa T20I Series,Away
2013-11-02,T20,South Africa,Sri Lanka,20 runs,Senwes Park,2013,female,South Africa,field,HASD Siriwardene,Sri Lanka Women in South Africa T20I Series,Away
2013-11-04,T20,South Africa,Opponent,5 wickets,Senwes Park,2013,female,South Africa,field,S Loubser,Sri Lanka Women in South Africa T20I Series,Away
2013-11-10,ODI,New Zealand,No Result,,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013,male,New Zealand,field,nan,New Zealand in Sri Lanka ODI Series,Away
2013-11-12,ODI,New Zealand,Opponent,4 wickets,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2013,male,Sri Lanka,bat,TWM Latham,New Zealand in Sri Lanka ODI Series,Away
2013-11-16,ODI,New Zealand,Sri Lanka,36 runs,Rangiri Dambulla International Stadium,2013,male,New Zealand,field,SMSM Senanayake,New Zealand in Sri Lanka ODI Series,Home
2013-11-21,T20,New Zealand,Sri Lanka,8 wickets,Pallekele International Cricket Stadium,2013,male,Sri Lanka,field,MDKJ Perera,New Zealand in Sri Lanka T20I Series,Home
2013-12-11,T20,Pakistan,Opponent,3 wickets,Dubai International Cricket Stadium,2013,male,Pakistan,field,Shahid Afridi,Pakistan v Sri Lanka T20I Series,Away
2013-12-13,T20,Pakistan,Sri Lanka,24 runs,Dubai International Cricket Stadium,2013,male,Pakistan,field,MDKJ Perera,Pakistan v Sri Lanka T20I Series,Away
2013-12-18,ODI,Pakistan,Opponent,11 runs,Sharjah Cricket Stadium,2013,male,Pakistan,bat,Mohammad Hafeez,Pakistan v Sri Lanka ODI Series,Away
2013-12-20,ODI,Pakistan,Sri Lanka,2 wickets,Dubai International Cricket Stadium,2013,male,Sri Lanka,field,AD Mathews,Pakistan v Sri Lanka ODI Series,Away
2013-12-22,ODI,Pakistan,Opponent,113 runs,Sharjah Cricket Stadium,2013,male,Sri Lanka,field,Mohammad Hafeez,Pakistan v Sri Lanka ODI Series,Away
2013-12-25,ODI,Pakistan,Opponent,8 wickets,Sheikh Zayed Stadium,2013,male,Sri Lanka,bat,Mohammad Hafeez,Pakistan v Sri Lanka ODI Series,Away
2013-12-27,ODI,Pakistan,Sri Lanka,2 wickets,Sheikh Zayed Stadium,2013,male,Pakistan,bat,LD Chandimal,Pakistan v Sri Lanka ODI Series,Away
2013-12-31,Test,Pakistan,Draw,,Sheikh Zayed Stadium,2013,male,Pakistan,field,AD Mathews,Pakistan v Sri Lanka Test Series,Away
2014-01-08,Test,Pakistan,Sri Lanka,9 wickets,Dubai International Cricket Stadium,2014,male,Sri Lanka,field,DPMD Jayawardene,Pakistan v Sri Lanka Test Series,Away
2014-01-16,Test,Pakistan,Opponent,5 wickets,Sharjah Cricket Stadium,2014,male,Sri Lanka,bat,Azhar Ali,Pakistan v Sri Lanka Test Series,Away
2014-01-27,Test,Bangladesh,Sri Lanka,248 runs,Shere Bangla National Stadium,2014,male,Sri Lanka,field,DPMD Jayawardene,Sri Lanka in Bangladesh Test Series,Away
2014-02-04,Test,Bangladesh,Draw,,Zahur Ahmed Chowdhury Stadium,2014,male,Sri Lanka,bat,KC Sangakkara,Sri Lanka in Bangladesh Test Series,Away
2014-02-12,T20,Bangladesh,Sri Lanka,2 runs,Zahur Ahmed Chowdhury Stadium,2014,male,Bangladesh,field,MDKJ Perera,Sri Lanka in Bangladesh T20I Series,Away
2014-02-14,T20,Bangladesh,Sri Lanka,3 wickets,Zahur Ahmed Chowdhury Stadium,2014,male,Bangladesh,bat,NLTC Perera,Sri Lanka in Bangladesh T20I Series,Away
2014-02-17,ODI,Bangladesh,Sri Lanka,13 runs,Shere Bangla National Stadium,2014,male,Bangladesh,field,NLTC Perera,Sri Lanka in Bangladesh ODI Series,Away
2014-02-20,ODI,Bangladesh,Sri Lanka,61 runs,Shere Bangla National Stadium,2014,male,Sri Lanka,bat,KC Sangakkara,Sri Lanka in Bangladesh ODI Series,Away
2014-02-22,ODI,Bangladesh,Sri Lanka,6 wickets,Shere Bangla National Stadium,2014,male,Sri Lanka,field,MDKJ Perera,Sri Lanka in Bangladesh ODI Series,Away
2014-02-25,ODI,Pakistan,Sri Lanka,12 runs,Khan Shaheb Osman Ali Stadium,2014,male,Sri Lanka,bat,SL Malinga,Asia Cup,Away
2014-02-28,ODI,India,Sri Lanka,2 wickets,Khan Shaheb Osman Ali Stadium,2014,male,Sri Lanka,field,KC Sangakkara,Asia Cup,Away
2014-03-06,ODI,Bangladesh,Sri Lanka,3 wickets,Shere Bangla National Stadium,2014,male,Bangladesh,bat,AD Mathews,Asia Cup,Away
2014-03-08,ODI,Pakistan,Sri Lanka,5 wickets,Shere Bangla National Stadium,2014,male,Pakistan,bat,SL Malinga,Asia Cup,Away
2014-03-22,T20,South Africa,Sri Lanka,5 runs,Zahur Ahmed Chowdhury Stadium,2014,male,Sri Lanka,bat,MDKJ Perera,World T20,Away
2014-03-24,T20,India,Sri Lanka,22 runs,Sylhet Stadium,2014,female,Sri Lanka,bat,KDU Prabodhani,Women's World T20,Away
2014-03-24,T20,Netherlands,Sri Lanka,9 wickets,Zahur Ahmed Chowdhury Stadium,2014,male,Sri Lanka,field,AD Mathews,World T20,Away
2014-03-27,T20,England,Opponent,6 wickets,Zahur Ahmed Chowdhury Stadium,2014,male,England,field,AD Hales,World T20,Away
2014-03-28,T20,West Indies,Opponent,8 wickets,Sylhet Stadium,2014,female,Sri Lanka,bat,SF Daley,Women's World T20,Away
2014-03-30,T20,England,Opponent,7 wickets,Sylhet Stadium,2014,female,Sri Lanka,bat,A Shrubsole,Women's World T20,Away
2014-03-31,T20,New Zealand,Sri Lanka,59 runs,Zahur Ahmed Chowdhury Stadium,2014,male,New Zealand,field,HMRKB Herath,World T20,Away
2014-04-01,T20,Bangladesh,Opponent,3 runs,Sylhet Stadium,2014,female,Bangladesh,bat,Rumana Ahmed,Women's World T20,Away
2014-04-02,T20,New Zealand,Opponent,6 wickets,Sylhet Stadium,2014,female,Sri Lanka,bat,RH Priest,Women's World T20,Away
2014-04-03,T20,West Indies,Sri Lanka,27 runs,Shere Bangla National Stadium,2014,male,Sri Lanka,bat,AD Mathews,World T20,Away
2014-04-03,T20,Pakistan,Opponent,14 runs,Sylhet Stadium,2014,female,Pakistan,bat,Bismah Maroof,Women's World T20,Away
2014-04-06,T20,India,Sri Lanka,6 wickets,Shere Bangla National Stadium,2014,male,Sri Lanka,field,KC Sangakkara,World T20,Away
2014-05-06,ODI,Ireland,Sri Lanka,79 runs,"Clontarf Cricket Club Ground, Dublin",2014,male,Ireland,field,BAW Mendis,Sri Lanka tour of England and Ireland,Away
2014-05-20,T20,England,Sri Lanka,9 runs,Kennington Oval,2014,male,England,field,NLTC Perera,nan,Away
2014-05-22,ODI,England,Opponent,81 runs,Kennington Oval,2014,male,Sri Lanka,field,CJ Jordan,Sri Lanka in England ODI Series,Away
2014-05-25,ODI,England,Sri Lanka,157 runs,Riverside Ground,2014,male,England,field,TM Dilshan,Sri Lanka in England ODI Series,Away
2014-05-28,ODI,England,Opponent,10 wickets,Old Trafford,2014,male,England,field,CJ Jordan,Sri Lanka in England ODI Series,Away
2014-05-31,ODI,England,Sri Lanka,7 runs,Lord's,2014,male,England,field,JC Buttler,Sri Lanka in England ODI Series,Away
2014-06-03,ODI,England,Sri Lanka,6 wickets,Edgbaston,2014,male,England,bat,HDRL Thirimanne,Sri Lanka in England ODI Series,Away
2014-06-12,Test,England,Draw,,Lord's,2014,male,Sri Lanka,field,JE Root,Sri Lanka in England Test Series,Away
2014-06-20,Test,England,Sri Lanka,100 runs,Headingley,2014,male,England,field,AD Mathews,Sri Lanka in England Test Series,Away
2014-07-06,ODI,South Africa,Opponent,75 runs,R Premadasa Stadium,2014,male,South Africa,bat,HM Amla,South Africa in Sri Lanka ODI Series,Home
2014-07-09,ODI,South Africa,Sri Lanka,87 runs,Pallekele International Cricket Stadium,2014,male,Sri Lanka,bat,TM Dilshan,South Africa in Sri Lanka ODI Series,Home
2014-07-12,ODI,South Africa,Opponent,82 runs,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2014,male,South Africa,bat,AB de Villiers,South Africa in Sri Lanka ODI Series,Away
2014-07-16,Test,South Africa,Opponent,153 runs,Galle International Stadium,2014,male,South Africa,bat,DW Steyn,South Africa in Sri Lanka Test Series,Home
2014-07-24,Test,South Africa,Draw,,Sinhalese Sports Club Ground,2014,male,Sri Lanka,bat,DPMD Jayawardene,South Africa in Sri Lanka Test Series,Home
2014-08-06,Test,Pakistan,Sri Lanka,7 wickets,Galle International Stadium,2014,male,Pakistan,bat,HMRKB Herath,Pakistan in Sri Lanka Test Series,Home
2014-08-14,Test,Pakistan,Sri Lanka,105 runs,Sinhalese Sports Club Ground,2014,male,Sri Lanka,bat,HMRKB Herath,Pakistan in Sri Lanka Test Series,Home
2014-08-23,ODI,Pakistan,Opponent,4 wickets,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2014,male,Pakistan,field,Sohaib Maqsood,Pakistan in Sri Lanka ODI Series,Away
2014-08-26,ODI,Pakistan,Sri Lanka,77 runs,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2014,male,Sri Lanka,bat,NLTC Perera,Pakistan in Sri Lanka ODI Series,Away
2014-08-30,ODI,Pakistan,Sri Lanka,7 wickets,Rangiri Dambulla International Stadium,2014,male,Pakistan,bat,NLTC Perera,Pakistan in Sri Lanka ODI Series,Home
2014-10-17,ODI,South Africa,No Result,,Sinhalese Sports Club Ground,2014,female,Sri Lanka,bat,nan,ICC Women's Championship,Home
2014-10-19,ODI,South Africa,Sri Lanka,4 wickets,Sinhalese Sports Club Ground,2014,female,Sri Lanka,field,AC Jayangani,ICC Women's Championship,Home
2014-10-21,ODI,South Africa,Opponent,5 wickets,Sinhalese Sports Club Ground,2014,female,South Africa,field,T Chetty,South Africa Women in Sri Lanka ODI Series,Home
2014-10-23,T20,South Africa,Sri Lanka,7 runs,Colts Cricket Club Ground,2014,female,Sri Lanka,bat,HASD Siriwardene,South Africa Women in Sri Lanka T20I Series,Away
2014-10-25,T20,South Africa,Opponent,7 wickets,Colts Cricket Club Ground,2014,female,Sri Lanka,bat,D van Niekerk,South Africa Women in Sri Lanka T20I Series,Away
2014-10-26,T20,South Africa,Opponent,9 wickets,Mercantile Cricket Association Ground,2014,female,Sri Lanka,bat,D van Niekerk,South Africa Women in Sri Lanka T20I Series,Away
2014-11-02,ODI,India,Opponent,169 runs,Barabati Stadium,2014,male,Sri Lanka,field,AM Rahane,Sri Lanka in India ODI Series,Away
2014-11-06,ODI,India,Opponent,6 wickets,"Sardar Patel Stadium, Motera",2014,male,Sri Lanka,bat,AT Rayudu,Sri Lanka in India ODI Series,Away
2014-11-09,ODI,India,Opponent,6 wickets,"Rajiv Gandhi International Stadium, Uppal",2014,male,Sri Lanka,bat,DPMD Jayawardene,Sri Lanka in India ODI Series,Away
2014-11-13,ODI,India,Opponent,153 runs,Eden Gardens,2014,male,India,bat,RG Sharma,Sri Lanka in India ODI Series,Away
2014-11-16,ODI,India,Opponent,3 wickets,JSCA International Stadium Complex,2014,male,Sri Lanka,bat,AD Mathews,Sri Lanka in India ODI Series,Away
2014-11-26,ODI,England,Sri Lanka,25 runs,R Premadasa Stadium,2014,male,England,field,TM Dilshan,England in Sri Lanka ODI Series,Home
2014-11-29,ODI,England,Sri Lanka,8 wickets,R Premadasa Stadium,2014,male,England,bat,DPMD Jayawardene,England in Sri Lanka ODI Series,Home
2014-12-03,ODI,England,Opponent,5 wickets,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2014,male,Sri Lanka,bat,JC Buttler,England in Sri Lanka ODI Series,Away
2014-12-07,ODI,England,Sri Lanka,6 wickets,R Premadasa Stadium,2014,male,England,bat,KC Sangakkara,England in Sri Lanka ODI Series,Home
2014-12-10,ODI,England,Opponent,5 wickets,Pallekele International Cricket Stadium,2014,male,England,field,JE Root,England in Sri Lanka ODI Series,Home
2014-12-13,ODI,England,Sri Lanka,90 runs,Pallekele International Cricket Stadium,2014,male,Sri Lanka,bat,KC Sangakkara,England in Sri Lanka ODI Series,Home
2014-12-16,ODI,England,Sri Lanka,87 runs,R Premadasa Stadium,2014,male,Sri Lanka,bat,TM Dilshan,England in Sri Lanka ODI Series,Home
2014-12-26,Test,New Zealand,Opponent,8 wickets,Hagley Oval,2014,male,Sri Lanka,field,BB McCullum,Sri Lanka in New Zealand Test Series,Away
2015-01-03,Test,New Zealand,Opponent,193 runs,Basin Reserve,2015,male,Sri Lanka,field,KS Williamson,Sri Lanka in New Zealand Test Series,Away
2015-01-11,ODI,Pakistan,Opponent,12 runs,Sharjah Cricket Stadium,2015,female,Pakistan,bat,Sana Mir,ICC Women's Championship,Away
2015-01-11,ODI,New Zealand,Opponent,3 wickets,Hagley Oval,2015,male,Sri Lanka,bat,CJ Anderson,Sri Lanka in New Zealand ODI Series,Away
2015-01-13,ODI,Pakistan,Opponent,7 wickets,Sharjah Cricket Stadium,2015,female,Sri Lanka,bat,Javeria Khan,ICC Women's Championship,Away
2015-01-15,ODI,New Zealand,Sri Lanka,6 wickets,Seddon Park,2015,male,New Zealand,bat,TM Dilshan,Sri Lanka in New Zealand ODI Series,Away
2015-01-16,T20,Pakistan,Opponent,55 runs,Sharjah Cricket Stadium,2015,female,Pakistan,bat,Sana Mir,Pakistan Women v Sri Lanka Women T20I Series,Away
2015-01-17,ODI,New Zealand,No Result,,Eden Park,2015,male,Sri Lanka,field,nan,Sri Lanka in New Zealand ODI Series,Away
2015-01-17,T20,Pakistan,Sri Lanka,5 wickets,Sharjah Cricket Stadium,2015,female,Pakistan,bat,AC Jayangani,Pakistan Women v Sri Lanka Women T20I Series,Away
2015-01-20,ODI,New Zealand,Opponent,4 wickets,Saxton Oval,2015,male,Sri Lanka,bat,KS Williamson,Sri Lanka in New Zealand ODI Series,Away
2015-01-23,ODI,New Zealand,Opponent,108 runs,University Oval,2015,male,Sri Lanka,field,GD Elliott,Sri Lanka in New Zealand ODI Series,Away
2015-01-25,ODI,New Zealand,Opponent,120 runs,University Oval,2015,male,New Zealand,bat,CJ Anderson,Sri Lanka in New Zealand ODI Series,Away
2015-01-29,ODI,New Zealand,Sri Lanka,34 runs,Westpac Stadium,2015,male,Sri Lanka,bat,KC Sangakkara,Sri Lanka in New Zealand ODI Series,Away
2015-02-14,ODI,New Zealand,Opponent,98 runs,Hagley Oval,2015,male,Sri Lanka,field,CJ Anderson,ICC Cricket World Cup,Away
2015-02-26,ODI,Bangladesh,Sri Lanka,92 runs,Melbourne Cricket Ground,2015,male,Sri Lanka,bat,TM Dilshan,ICC Cricket World Cup,Away
2015-03-01,ODI,England,Sri Lanka,9 wickets,Westpac Stadium,2015,male,England,bat,KC Sangakkara,ICC Cricket World Cup,Away
2015-03-08,ODI,Australia,Opponent,64 runs,Sydney Cricket Ground,2015,male,Australia,bat,GJ Maxwell,ICC Cricket World Cup,Away
2015-03-11,ODI,Scotland,Sri Lanka,148 runs,Bellerive Oval,2015,male,Sri Lanka,bat,KC Sangakkara,ICC Cricket World Cup,Away
2015-03-18,ODI,South Africa,Opponent,9 wickets,Sydney Cricket Ground,2015,male,Sri Lanka,bat,Imran Tahir,ICC Cricket World Cup,Away
2015-05-23,T20,West Indies,Sri Lanka,5 runs,R Premadasa Stadium,2015,female,Sri Lanka,field,SS Weerakkody,West Indies Women tour of Sri Lanka,Home
2015-05-25,T20,West Indies,Opponent,8 wickets,R Premadasa Stadium,2015,female,Sri Lanka,bat,SR Taylor,West Indies Women in Sri Lanka T20I Series,Home
2015-05-26,T20,West Indies,Opponent,9 wickets,R Premadasa Stadium,2015,female,West Indies,field,HK Matthews,West Indies Women in Sri Lanka T20I Series,Home
2015-06-17,Test,Pakistan,Opponent,10 wickets,Galle International Stadium,2015,male,Pakistan,field,Sarfraz Ahmed,Pakistan in Sri Lanka Test Series,Home
2015-06-25,Test,Pakistan,Sri Lanka,7 wickets,P Sara Oval,2015,male,Pakistan,bat,KTGD Prasad,Pakistan in Sri Lanka Test Series,Home
2015-07-03,Test,Pakistan,Opponent,7 wickets,Pallekele International Cricket Stadium,2015,male,Pakistan,field,Younis Khan,Pakistan in Sri Lanka Test Series,Home
2015-07-11,ODI,Pakistan,Opponent,6 wickets,Rangiri Dambulla International Stadium,2015,male,Pakistan,field,Mohammad Hafeez,Pakistan in Sri Lanka ODI Series,Home
2015-07-15,ODI,Pakistan,Sri Lanka,2 wickets,Pallekele International Cricket Stadium,2015,male,Pakistan,bat,MDKJ Perera,Pakistan in Sri Lanka ODI Series,Home
2015-07-19,ODI,Pakistan,Opponent,135 runs,R Premadasa Stadium,2015,male,Pakistan,bat,Sarfraz Ahmed,Pakistan in Sri Lanka ODI Series,Home
2015-07-22,ODI,Pakistan,Opponent,7 wickets,R Premadasa Stadium,2015,male,Sri Lanka,bat,Ahmed Shehzad,Pakistan in Sri Lanka ODI Series,Home
2015-07-26,ODI,Pakistan,Sri Lanka,165 runs,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",2015,male,Sri Lanka,bat,MDKJ Perera,Pakistan in Sri Lanka ODI Series,Away
2015-07-30,T20,Pakistan,Opponent,29 runs,R Premadasa Stadium,2015,male,Pakistan,bat,Sohail Tanvir,Pakistan in Sri Lanka T20I Series,Home
2015-08-01,T20,Pakistan,Opponent,1 wicket,R Premadasa Stadium,2015,male,Sri Lanka,bat,Anwar Ali,Pakistan in Sri Lanka T20I Series,Home
2015-08-12,Test,India,Sri Lanka,63 runs,Galle International Stadium,2015,male,Sri Lanka,bat,LD Chandimal,India in Sri Lanka Test Series,Home
2015-08-20,Test,India,Opponent,278 runs,P Sara Oval,2015,male,India,bat,KL Rahul,India in Sri Lanka Test Series,Home
2015-08-28,Test,India,Opponent,117 runs,Sinhalese Sports Club Ground,2015,male,Sri Lanka,field,CA Pujara,India in Sri Lanka Test Series,Home
2015-10-14,Test,West Indies,Sri Lanka,6 runs,Galle International Stadium,2015,male,Sri Lanka,bat,HMRKB Herath,Sobers/Tissera Trophy,Home
2015-10-22,Test,West Indies,Sri Lanka,72 runs,P Sara Oval,2015,male,Sri Lanka,bat,TAM Siriwardana,Sobers/Tissera Trophy,Home
2015-11-01,ODI,West Indies,Sri Lanka,1 wicket,R Premadasa Stadium,2015,male,Sri Lanka,field,TM Dilshan,West Indies in Sri Lanka ODI Series,Home
2015-11-03,ODI,New Zealand,Opponent,96 runs,Bert Sutcliffe Oval,2015,female,Sri Lanka,field,nan,ICC Women's Championship,Away
2015-11-04,ODI,West Indies,Sri Lanka,8 wickets,R Premadasa Stadium,2015,male,West Indies,bat,MDKJ Perera,West Indies in Sri Lanka ODI Series,Home
2015-11-05,ODI,New Zealand,Opponent,10 wickets,Bert Sutcliffe Oval,2015,female,New Zealand,field,nan,ICC Women's Championship,Away
2015-11-07,ODI,West Indies,Sri Lanka,19 runs,Pallekele International Cricket Stadium,2015,male,Sri Lanka,field,MN Samuels,West Indies in Sri Lanka ODI Series,Home
2015-11-09,T20,West Indies,Sri Lanka,30 runs,Pallekele International Cricket Stadium,2015,male,West Indies,field,SMSM Senanayake,West Indies in Sri Lanka T20I Series,Home
2015-11-11,T20,West Indies,Opponent,23 runs,R Premadasa Stadium,2015,male,West Indies,bat,DJ Bravo,West Indies in Sri Lanka T20I Series,Home
2015-12-10,Test,New Zealand,Opponent,122 runs,University Oval,2015,male,Sri Lanka,field,MJ Guptill,Sri Lanka in New Zealand Test Series,Away
2015-12-18,Test,New Zealand,Opponent,5 wickets,Seddon Park,2015,male,New Zealand,field,KS Williamson,Sri Lanka in New Zealand Test Series,Away
2015-12-26,ODI,New Zealand,Opponent,7 wickets,Hagley Oval,2015,male,Sri Lanka,bat,MJ Henry,Sri Lanka in New Zealand ODI Series,Away
2015-12-28,ODI,New Zealand,Opponent,10 wickets,Hagley Oval,2015,male,Sri Lanka,bat,MJ Guptill,Sri Lanka in New Zealand ODI Series,Away
2015-12-31,ODI,New Zealand,Sri Lanka,8 wickets,Saxton Oval,2015,male,New Zealand,bat,MD Gunathilaka,Sri Lanka in New Zealand ODI Series,Away
2016-01-02,ODI,New Zealand,No Result,,Saxton Oval,2016,male,Sri Lanka,field,nan,Sri Lanka in New Zealand ODI Series,Away
