Match_Date,Match_Format,Opponent,Winner,Margin,Ground,Year,Gender,Toss_Winner,Toss_Decision,Player_of_Match,Event_Name,Home_Away
2006-03-17,ODI,Pakistan,No Result,,R Premadasa Stadium,2006,male,Sri Lanka,field,nan,Pakistan in Sri Lanka ODI Series,Home
2006-03-19,ODI,Pakistan,Opponent,4 wickets,R Premadasa Stadium,2006,male,Pakistan,field,Abdul Razzaq,Pakistan in Sri Lanka ODI Series,Home
2006-03-22,ODI,Pakistan,Opponent,4 wickets,Sinhalese Sports Club Ground,2006,male,Pakistan,field,Shahid Afridi,Pakistan in Sri Lanka ODI Series,Home
2006-04-03,Test,Pakistan,Opponent,8 wickets,Asgiriya Stadium,2006,male,Pakistan,field,Mohammad Asif,Pakistan tour of Sri Lanka,Home
2006-05-11,Test,England,Draw,,Lord's,2006,male,England,bat,DPMD Jayawardene,Sri Lanka tour of England,Away
2006-05-25,Test,England,Opponent,6 wickets,Edgbaston,2006,male,Sri Lanka,bat,KP Pietersen,Sri Lanka tour of England,Away
2006-06-02,Test,England,Sri Lanka,134 runs,Trent Bridge,2006,male,Sri Lanka,bat,M Muralitharan,Sri Lanka tour of England,Away
2006-06-15,T20,England,Sri Lanka,2 runs,The Rose Bowl,2006,male,Sri Lanka,bat,ST Jayasuriya,nan,Away
2006-06-17,ODI,England,Sri Lanka,20 runs,Lord's,2006,male,England,field,WU Tharanga,NatWest Series,Away
2006-06-20,ODI,England,Sri Lanka,46 runs,Kennington Oval,2006,male,Sri Lanka,bat,ST Jayasuriya,NatWest Series,Away
2006-06-24,ODI,England,Sri Lanka,8 wickets,Riverside Ground,2006,male,England,bat,DPMD Jayawardene,NatWest Series,Away
2006-06-28,ODI,England,Sri Lanka,33 runs,Old Trafford,2006,male,Sri Lanka,bat,DPMD Jayawardene,NatWest Series,Away
2006-07-01,ODI,England,Sri Lanka,8 wickets,Headingley,2006,male,England,bat,ST Jayasuriya,NatWest Series,Away
2006-07-27,Test,South Africa,Sri Lanka,153 runs,Sinhalese Sports Club Ground,2006,male,South Africa,bat,DPMD Jayawardene,South Africa tour of Sri Lanka,Home
2006-08-04,Test,South Africa,Sri Lanka,1 wicket,P Sara Oval,2006,male,South Africa,bat,DPMD Jayawardene,South Africa tour of Sri Lanka,Home
2006-08-18,ODI,India,No Result,,Sinhalese Sports Club Ground,2006,male,India,bat,nan,India in Sri Lanka ODI Series,Home
2006-10-07,ODI,Bangladesh,Sri Lanka,37 runs,"Punjab Cricket Association Stadium, Mohali",2006,male,Bangladesh,field,WU Tharanga,ICC Champions Trophy,Away
2006-10-10,ODI,Zimbabwe,Sri Lanka,144 runs,"Sardar Patel Stadium, Motera",2006,male,Sri Lanka,bat,WU Tharanga,ICC Champions Trophy,Away
2006-10-14,ODI,West Indies,Sri Lanka,9 wickets,Brabourne Stadium,2006,male,West Indies,bat,MF Maharoof,ICC Champions Trophy,Away
2006-10-17,ODI,Pakistan,Opponent,4 wickets,Sawai Mansingh Stadium,2006,male,Sri Lanka,bat,Abdul Razzaq,ICC Champions Trophy,Away
2006-10-20,ODI,New Zealand,Sri Lanka,7 wickets,Brabourne Stadium,2006,male,New Zealand,bat,M Muralitharan,ICC Champions Trophy,Away
2006-10-24,ODI,South Africa,Opponent,78 runs,"Sardar Patel Stadium, Motera",2006,male,Sri Lanka,field,SM Pollock,ICC Champions Trophy,Away
2006-12-07,Test,New Zealand,Opponent,5 wickets,AMI Stadium,2006,male,Sri Lanka,bat,SE Bond,Sri Lanka tour of New Zealand,Away
2006-12-15,Test,New Zealand,Sri Lanka,217 runs,Basin Reserve,2006,male,Sri Lanka,bat,LPC Silva,Sri Lanka tour of New Zealand,Away
2006-12-22,T20,New Zealand,Sri Lanka,18 runs,Westpac Stadium,2006,male,New Zealand,bat,ST Jayasuriya,Sri Lanka in New Zealand T20I Series,Away
2006-12-26,T20,New Zealand,Opponent,5 wickets,Eden Park,2006,male,New Zealand,field,JEC Franklin,Sri Lanka in New Zealand T20I Series,Away
2006-12-28,ODI,New Zealand,Sri Lanka,7 wickets,McLean Park,2006,male,New Zealand,bat,ST Jayasuriya,Sri Lanka in New Zealand ODI Series,Away
2007-01-02,ODI,New Zealand,Opponent,4 wickets,Jade Stadium,2007,male,New Zealand,field,MJ Mason,Sri Lanka in New Zealand ODI Series,Away
2007-01-06,ODI,New Zealand,Sri Lanka,189 runs,Eden Park,2007,male,Sri Lanka,bat,ST Jayasuriya,Sri Lanka in New Zealand ODI Series,Away
2007-02-08,ODI,India,No Result,,Eden Gardens,2007,male,India,field,nan,Sri Lanka in India ODI Series,Away
2007-02-11,ODI,India,Sri Lanka,5 runs,Madhavrao Scindia Cricket Ground,2007,male,India,field,KC Sangakkara,Sri Lanka in India ODI Series,Away
2007-02-14,ODI,India,Opponent,5 wickets,"Nehru Stadium, Fatorda",2007,male,Sri Lanka,bat,Z Khan,Sri Lanka in India ODI Series,Away
2007-02-17,ODI,India,Opponent,7 wickets,Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium,2007,male,India,field,LPC Silva,Sri Lanka in India ODI Series,Away
2007-03-15,ODI,Bermuda,Sri Lanka,243 runs,"Queen's Park Oval, Port of Spain",2007,male,Sri Lanka,bat,DPMD Jayawardene,ICC World Cup,Away
2007-03-21,ODI,Bangladesh,Sri Lanka,198 runs,"Queen's Park Oval, Port of Spain",2007,male,Bangladesh,field,ST Jayasuriya,ICC World Cup,Away
2007-03-23,ODI,India,Sri Lanka,69 runs,"Queen's Park Oval, Port of Spain",2007,male,India,field,M Muralitharan,ICC World Cup,Away
2007-03-28,ODI,South Africa,Opponent,1 wicket,Providence Stadium,2007,male,Sri Lanka,bat,CK Langeveldt,ICC World Cup,Away
2007-04-01,ODI,West Indies,Sri Lanka,113 runs,Providence Stadium,2007,male,West Indies,field,ST Jayasuriya,ICC World Cup,Away
2007-04-04,ODI,England,Sri Lanka,2 runs,"Sir Vivian Richards Stadium, North Sound",2007,male,England,field,RS Bopara,ICC World Cup,Away
2007-04-12,ODI,New Zealand,Sri Lanka,6 wickets,"National Cricket Stadium, St George's",2007,male,New Zealand,bat,WPUJC Vaas,ICC World Cup,Away
2007-04-16,ODI,Australia,Opponent,7 wickets,"National Cricket Stadium, St George's",2007,male,Sri Lanka,bat,NW Bracken,ICC World Cup,Away
2007-04-18,ODI,Ireland,Sri Lanka,8 wickets,"National Cricket Stadium, St George's",2007,male,Sri Lanka,field,MF Maharoof,ICC World Cup,Away
2007-04-24,ODI,New Zealand,Sri Lanka,81 runs,"Sabina Park, Kingston",2007,male,Sri Lanka,bat,DPMD Jayawardene,ICC World Cup,Away
2007-04-28,ODI,Australia,Opponent,53 runs,"Kensington Oval, Bridgetown",2007,male,Australia,bat,AC Gilchrist,ICC World Cup,Away
2007-06-25,Test,Bangladesh,Sri Lanka,234 runs,Sinhalese Sports Club Ground,2007,male,Sri Lanka,field,M Muralitharan,Bangladesh tour of Sri Lanka,Home
2007-07-03,Test,Bangladesh,Sri Lanka,90 runs,P Sara Oval,2007,male,Sri Lanka,field,KC Sangakkara,Bangladesh tour of Sri Lanka,Home
2007-07-11,Test,Bangladesh,Sri Lanka,193 runs,Asgiriya Stadium,2007,male,Sri Lanka,field,M Muralitharan,Bangladesh tour of Sri Lanka,Home
2007-07-20,ODI,Bangladesh,Sri Lanka,70 runs,P Saravanamuttu Stadium,2007,male,Bangladesh,field,CRD Fernando,Bangladesh in Sri Lanka ODI Series,Away
2007-07-23,ODI,Bangladesh,Sri Lanka,5 wickets,R Premadasa Stadium,2007,male,Sri Lanka,field,ST Jayasuriya,Bangladesh in Sri Lanka ODI Series,Home
2007-07-25,ODI,Bangladesh,Sri Lanka,39 runs,R Premadasa Stadium,2007,male,Bangladesh,field,J Mubarak,Bangladesh in Sri Lanka ODI Series,Home
2007-09-14,T20,Kenya,Sri Lanka,172 runs,New Wanderers Stadium,2007,male,Kenya,field,ST Jayasuriya,ICC World Twenty20,Away
2007-09-15,T20,New Zealand,Sri Lanka,7 wickets,New Wanderers Stadium,2007,male,New Zealand,bat,ST Jayasuriya,ICC World Twenty20,Away
2007-09-17,T20,Pakistan,Opponent,33 runs,New Wanderers Stadium,2007,male,Sri Lanka,field,Younis Khan,ICC World Twenty20,Away
2007-09-18,T20,Bangladesh,Sri Lanka,64 runs,New Wanderers Stadium,2007,male,Bangladesh,field,CRD Fernando,ICC World Twenty20,Away
2007-09-20,T20,Australia,Opponent,10 wickets,Newlands,2007,male,Australia,field,SR Clark,ICC World Twenty20,Away
2007-10-01,ODI,England,Sri Lanka,119 runs,Rangiri Dambulla International Stadium,2007,male,Sri Lanka,bat,MF Maharoof,England in Sri Lanka ODI Series,Home
2007-10-04,ODI,England,Opponent,65 runs,Rangiri Dambulla International Stadium,2007,male,England,bat,OA Shah,England in Sri Lanka ODI Series,Home
2007-10-10,ODI,England,Opponent,5 wickets,R Premadasa Stadium,2007,male,Sri Lanka,bat,AN Cook,England in Sri Lanka ODI Series,Home
2007-10-13,ODI,England,Sri Lanka,107 runs,R Premadasa Stadium,2007,male,Sri Lanka,bat,CRD Fernando,England in Sri Lanka ODI Series,Home
2007-11-08,Test,Australia,Opponent,40 runs,"Brisbane Cricket Ground, Woolloongabba",2007,male,Sri Lanka,field,B Lee,Sri Lanka tour of Australia,Away
2007-11-16,Test,Australia,Opponent,96 runs,Bellerive Oval,2007,male,Australia,bat,B Lee,Sri Lanka tour of Australia,Away
2007-12-01,Test,England,Sri Lanka,88 runs,Asgiriya Stadium,2007,male,Sri Lanka,bat,KC Sangakkara,England tour of Sri Lanka,Home
2007-12-09,Test,England,Draw,,Sinhalese Sports Club Ground,2007,male,England,bat,DPMD Jayawardene,England tour of Sri Lanka,Home
2007-12-18,Test,England,Draw,,Galle International Stadium,2007,male,England,field,DPMD Jayawardene,England tour of Sri Lanka,Home
2008-02-05,ODI,India,No Result,,"Brisbane Cricket Ground, Woolloongabba",2008,male,India,bat,nan,Commonwealth Bank Series,Away
2008-02-08,ODI,Australia,Opponent,128 runs,Sydney Cricket Ground,2008,male,Australia,bat,NW Bracken,Commonwealth Bank Series,Away
2008-02-15,ODI,Australia,Opponent,63 runs,Western Australia Cricket Association Ground,2008,male,Australia,bat,AC Gilchrist,Commonwealth Bank Series,Away
